ID,date,value,CO2,temp,outT,TSV,adapt_comf
300,2024-03-03 20:00:00,3.0,463.0,20.4,6.35,-0.8,0
301,2024-03-03 21:00:00,3.0,459.0,20.6,6.0,-0.5,0
302,2024-03-03 22:00:00,3.0,448.0,20.7,5.29,-0.8,0
303,2024-03-04 09:00:00,0.2,467.0,21.2,3.73,-0.4,0
304,2024-03-04 10:00:00,0.2,477.0,20.9,7.43,-0.2,0
305,2024-03-04 11:00:00,0.2,491.0,20.5,8.38,0.9,0
306,2024-03-04 12:00:00,0.2,507.0,20.3,8.17,0.0,0
307,2024-03-04 13:00:00,0.2,519.0,20.1,8.28,0.2,0
308,2024-03-04 14:00:00,0.2,521.0,19.9,7.01,-0.2,0
309,2024-03-04 15:00:00,1.24,513.0,18.4,6.91,-0.1,0
310,2024-03-04 16:00:00,2.38,514.0,19.3,6.69,-0.1,0
311,2024-03-04 17:00:00,2.4,515.0,19.8,6.97,-0.4,0
312,2024-03-04 18:00:00,2.4,476.0,20.2,6.72,-0.3,0
313,2024-03-04 19:00:00,0.86,446.0,20.6,6.37,-0.6,0
314,2024-03-07 17:00:00,2.01,464.0,20.0,6.18,-0.5,0
315,2024-03-07 18:00:00,3.3,465.0,19.5,5.45,-0.5,0
316,2024-03-07 19:00:00,3.25,464.0,20.0,4.6,-0.4,0
317,2024-03-07 20:00:00,2.35,459.0,20.2,4.22,-0.7,0
318,2024-03-08 15:00:00,2.54,448.0,19.1,5.74,-0.2,0
319,2024-03-08 16:00:00,3.23,450.0,19.6,4.89,-1.2,0
320,2024-03-08 17:00:00,3.0,453.0,20.1,4.43,-0.2,0
321,2024-03-08 18:00:00,3.0,454.0,20.2,4.66,-0.9,0
322,2024-03-10 09:00:00,0.1,423.0,21.8,7.25,-0.3,0
323,2024-03-10 10:00:00,0.1,421.0,21.7,7.34,-0.2,0
324,2024-03-10 11:00:00,0.1,418.0,21.6,7.96,-0.1,0
325,2024-03-10 12:00:00,0.1,422.0,21.1,7.95,-0.1,0
326,2024-03-10 13:00:00,0.1,423.0,21.0,7.42,-0.1,0
327,2024-03-10 14:00:00,0.1,412.0,21.4,8.13,-1.0,0
328,2024-03-14 17:00:00,0.1,438.0,20.0,12.1,-0.0,0
