ID,date,indoor T,TSV,outdoorT,hour,day_of_week,value
293,2024-02-14 04:00:00,20.1900005340576,0.1492537313432835,11.0,4,2,-0.1
294,2024-02-14 05:00:00,20.1900005340576,0.1641791044776119,11.0,5,2,-0.1
295,2024-02-14 06:00:00,20.4450006484985,0.1791044776119403,11.0,6,2,-0.1
296,2024-02-14 07:00:00,20.7000007629394,0.1940298507462686,11.6,7,2,-0.1
297,2024-02-14 08:00:00,20.7000007629394,0.208955223880597,11.4,8,2,-0.1
298,2024-02-14 09:00:00,20.7000007629394,0.2238805970149253,11.2,9,2,-0.1
299,2024-02-14 10:00:00,20.7000007629394,0.2388059701492537,11.7,10,2,-0.1
300,2024-02-14 11:00:00,20.7000007629394,0.2537313432835821,11.8,11,2,-0.1
301,2024-02-14 12:00:00,20.7000007629394,0.2686567164179104,11.8,12,2,-0.1
302,2024-02-14 13:00:00,20.7000007629394,0.2835820895522388,12.5,13,2,-0.1
303,2024-02-14 14:00:00,20.7000007629394,0.2985074626865671,12.7,14,2,-0.1
304,2024-02-14 15:00:00,20.7000007629394,0.3134328358208955,12.4,15,2,-0.1
305,2024-02-14 16:00:00,21.0033332506815,0.3283582089552239,12.3,16,2,-0.1
306,2024-02-14 17:00:00,21.2199993133544,0.3432835820895522,12.2,17,2,-0.1
307,2024-02-15 12:00:00,21.2199993133544,0.6268656716417911,14.5,12,3,-0.1
308,2024-02-15 13:00:00,21.3049993515014,0.6417910447761194,16.0,13,3,-0.1
309,2024-02-15 14:00:00,21.7299995422363,0.6567164179104478,16.6,14,3,-0.1
310,2024-02-15 15:00:00,21.7299995422363,0.6716417910447761,16.5,15,3,-0.1
311,2024-02-15 16:00:00,21.7299995422363,0.6865671641791045,15.6,16,3,-0.1
312,2024-02-15 17:00:00,21.7299995422363,0.7014925373134329,14.8,17,3,-0.1
313,2024-02-15 18:00:00,21.7299995422363,0.7164179104477612,14.2,18,3,-0.1
314,2024-02-15 19:00:00,21.7299995422363,0.7313432835820896,13.5,19,3,-0.1
315,2024-02-15 20:00:00,21.7299995422363,0.7462686567164178,12.8,20,3,-0.1
316,2024-02-15 21:00:00,21.7299995422363,0.7611940298507462,13.0,21,3,-0.1
317,2024-02-15 22:00:00,21.21666653951,0.7761194029850746,12.9,22,3,-0.1
